resolution,highs_version,s,max_rss,max_vms,max_uss,max_pss,io_in,io_out,mean_load,cpu_time
1,1.1.2.dev3,245.6955,597.4100000000001,856.99,570.7249999999999,580.7950000000001,5.595,20.275,91.07,224.3
2,1.1.2.dev3,59.59445,430.59000000000003,639.44,404.07,414.115,0.0,13.62,74.28999999999999,44.769999999999996
3,1.1.2.dev3,20.42415,354.765,571.885,328.305,338.325,0.0,11.47,69.73,14.735
4,1.1.2.dev3,9.185749999999999,293.92499999999995,495.65,267.765,277.685,0.0,10.4,89.07,8.68
5,1.1.2.dev3,4.981949999999999,260.265,459.55,234.005,243.94,0.0,9.76,72.975,4.125
1,1.5.0.dev0,243.97725,607.9200000000001,855.9300000000001,581.2049999999999,591.27,0.0,20.26,92.02000000000001,225.015
2,1.5.0.dev0,59.3421,429.51,639.89,403.07,413.075,0.0,13.7,74.6,44.765
3,1.5.0.dev0,20.31365,354.975,571.99,328.68,338.615,0.0,11.55,70.1,14.73
4,1.5.0.dev0,9.4405,293.1,495.255,266.745,276.725,0.0,10.48,86.315,8.64
5,1.5.0.dev0,5.0081500000000005,260.14,459.245,233.555,243.575,0.0,9.84,72.08500000000001,4.105
